Date,Open,High,Low,Close,mavg,direction
2017-01-03,115.800003,116.330002,114.760002,116.150002,114.8328334,Increasing
2017-01-04,115.849998,116.510002,115.75,116.019997,115.181,Increasing
2017-01-05,115.919998,116.860001,115.809998,116.610001,115.5106667,Increasing
2017-01-06,116.779999,118.160004,116.470001,117.910004,115.8633334,Increasing
2017-01-09,117.949997,119.43,117.940002,118.989998,116.2168334,Increasing
2017-01-10,118.769997,119.379997,118.300003,119.110001,116.4806669,Increasing
2017-01-11,118.739998,119.93,118.599998,119.75,116.7721668,Increasing
2017-01-12,118.900002,119.300003,118.209999,119.25,116.9705002,Increasing
2017-01-13,119.110001,119.620003,118.809998,119.040001,117.1555002,Decreasing
2017-01-17,118.339996,120.239998,118.220001,120.0,117.3335001,Increasing
2017-01-18,120.0,120.5,119.709999,119.989998,117.5348333,Decreasing
2017-01-19,119.400002,120.089996,119.370003,119.779999,117.6926667,Increasing
2017-01-20,120.449997,120.449997,119.730003,120.0,117.8435001,Decreasing
2017-01-23,120.0,120.809998,119.769997,120.080002,118.0005,Increasing
2017-01-24,119.550003,120.099998,119.5,119.970001,118.186,Increasing
2017-01-25,120.419998,122.099998,120.279999,121.879997,118.4465001,Increasing
2017-01-26,121.669998,122.440002,121.599998,121.940002,118.687,Increasing
2017-01-27,122.139999,122.349998,121.599998,121.949997,118.9356667,Decreasing
2017-01-30,120.93,121.629997,120.660004,121.629997,119.1636665,Increasing
2017-01-31,121.150002,121.389999,120.620003,121.349998,119.4121666,Increasing
2017-02-01,127.029999,130.490005,127.010002,128.75,120.0623333,Increasing
2017-02-02,127.980003,129.389999,127.779999,128.529999,120.6859999,Increasing
2017-02-03,128.309998,129.190002,128.160004,129.080002,121.3051667,Increasing
2017-02-06,129.130005,130.5,128.899994,130.289993,121.924333,Increasing
2017-02-07,130.539993,132.089996,130.449997,131.529999,122.5528329,Increasing
2017-02-08,131.350006,132.220001,131.220001,132.039993,123.1976661,Increasing
2017-02-09,131.649994,132.449997,131.119995,132.419998,123.826166,Increasing
2017-02-10,132.460007,132.940002,132.050003,132.119995,124.4986659,Decreasing
2017-02-13,133.080002,133.820007,132.75,133.289993,125.2051659,Increasing
2017-02-14,133.470001,135.089996,133.25,135.020004,125.9534992,Increasing
2017-02-15,135.520004,136.270004,134.619995,135.509995,126.7234992,Decreasing
2017-02-16,135.669998,135.899994,134.839996,135.350006,127.5043325,Decreasing
